성별,시즌,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,계산된 방영당시 나이,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화,넷플릭스,wavve,엠넷,티빙,쿠팡플레이,JTBC,카카오tv,SBS,디즈니,채널A,E/I,S/N,T/F,J/P,출연자방영후30일평균검색량 대비 프로그램방영후30일평균검색량 비율,출연자방영후14일평균검색량 대비 프로그램방영후14일평균검색량 비율,출연자방영전후30일총검색량 대비 프로그램방영전후30일총검색량 비율,출연자방영전후14일총검색량 대비 프로그램방영전후14일총검색량 비율
남,2.0,,20,True,1996.0,27.0,26.2,INTJ,False,True,80,75,94,53,75,84,72,4,5,26.0,105,391424.3333333333,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,T,J,0.00941773974246181,0.011288012804313031,0.007496538222795206,0.008952730916986805
남,,,13,True,2004.0,20.0,20.0,ISFP,True,True,84,68,78,62,67,99,94,4,5,19.0,21,384981.0,68.0072561090643,31.9927438909357,0.690909090909091,0.309090909090909,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I,S,F,P,,,,
남,3.0,,14,True,1998.0,27.0,26.125,INFP,True,True,84,72,93,94,66,86,93,7,0,26.0,42,97171.0,98.5006988048554,1.49930119514465,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,I,N,F,P,0.0032807373847836274,0.004353083434099154,0.0028548123980424145,0.003739094308267553
남,1.0,,11,True,1992.0,31.0,29.5,INFP,True,False,82,87,80,97,75,99,55,7,0,30.0,42,55087.0,62.0591764175093,37.9408235824907,0.608247422680412,0.391752577319588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,N,F,P,,,,
여,,,13,True,1998.0,25.0,26.36363636,,,False,83,81,78,71,50,84,61,5,5,24.0,56,108246.0,69.6688681840897,30.3311318159103,0.666666666666667,0.333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
남,3.0,,14,True,2003.0,22.0,26.125,ENFP,False,False,84,75,58,92,73,99,90,7,0,21.0,42,46195.0,95.1293617486954,4.87063825130463,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,P,,,,
남,2.0,,20,True,1997.0,26.0,26.2,INTP,True,True,82,89,65,61,73,97,89,4,5,25.0,105,344265.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,T,P,0.005458689914420539,8.423890152472411e-05,0.004345127250155183,6.681142475363287e-05
여,,,13,True,2004.0,20.0,20.0,ENFJ,False,True,86,91,78,85,68,89,76,4,5,19.0,21,428829.0,69.5628559825185,30.4371440174815,0.736263736263736,0.263736263736264,1,0,0,0,1,0,0,0,0,0,0,0,0,0,E,N,F,J,,,,
남,,,12,True,1994.0,29.0,31.0,,,True,83,75,55,85,72,95,92,4,5,28.0,70,21782.0,69.6832744777203,30.3167255222797,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.010669850930241517,0.006416209371042632,0.009906655699009335,0.005686069130629957
남,,,13,True,2004.0,20.0,20.0,INFJ,False,False,79,70,73,79,55,90,62,4,5,19.0,21,71883.09210526316,54.2453970658152,45.7546029341848,0.578947368421053,0.421052631578947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I,N,F,J,,,,
남,2.0,,16,True,1995.0,28.0,27.0,ENFJ,False,False,84,78,81,70,54,99,94,3,4,27.0,105,53288.0,2.66573391854763,97.3342660814524,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,E,N,F,J,0.067735155018392,0.07411619751682305,0.05821778600785872,0.0628162904650976
여,2.0,,20,True,1998.0,25.0,26.2,INTP,True,True,84,91,50,96,70,84,80,4,5,24.0,105,714612.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,T,P,0.0,0.0,0.0,0.0
여,,1.6,17,True,1996.0,29.0,31.7,ENFJ,False,True,85,52,87,78,91,95,71,4,5,28.0,105,311218.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,J,0.0006798718703013662,0.000675412391219639,0.0006473982682096325,0.0006306470195864411
남,,1.6,17,True,1994.0,31.0,31.7,ENTJ,False,False,82,65,100,71,60,100,82,4,5,30.0,105,440821.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,E,N,T,J,0.0024841472184088382,0.0019223275750097422,0.0023654936723044267,0.0017949184403614092
남,,1.6,17,True,1991.0,34.0,31.7,ENTJ,False,False,82,75,100,73,67,80,61,4,5,33.0,105,247235.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,E,N,T,J,0.004759103092109564,0.004442135342252241,0.0045317878774674275,0.004147716936510824
여,,1.6,17,True,1989.0,36.0,31.7,INFJ,False,False,81,54,51,75,60,93,85,4,5,35.0,105,187736.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,N,F,J,0.000614499575080081,0.0005844914924016107,0.0005851484347279371,0.0005457522284882663
남,3.0,,14,True,1996.0,29.0,26.125,ENTP,False,True,82,59,99,67,65,95,76,7,0,28.0,42,32417.0,33.7196825537831,66.2803174462169,0.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,E,N,T,P,0.001718481487267614,0.002660217654171705,0.001495377922784122,0.002285002077274616
남,3.0,,20,True,1992.0,32.0,29.08333333,INTP,False,True,81,63,79,93,74,93,68,5,6,31.0,112,199786.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,N,T,P,0.016962171157908212,0.02013528393896492,0.012518600751116046,0.01485780615206036
남,3.0,,20,True,1996.0,28.0,29.08333333,ESFP,True,True,84,84,61,85,72,95,74,5,6,27.0,112,83364.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,S,F,P,0.0006400819304871023,0.00010487127051544229,0.0004724000283440017,7.738440704198104e-05
남,,,13,True,1995.0,28.0,26.36363636,,,True,87,53,99,88,71,100,78,4,6,27.0,56,125515.0,37.6955171426137,62.3044828573863,0.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,
여,2.0,,20,True,1994.0,29.0,26.2,ENFP,True,True,84,72,51,75,68,99,84,4,5,28.0,105,1018803.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,N,F,P,0.013656722386627209,0.0011372251705837756,0.010870776233904726,0.0009019542341740437
남,3.0,,14,True,1997.0,28.0,26.125,ENFJ,False,True,80,59,82,76,62,95,68,7,0,27.0,42,36888.0,49.8596990770764,50.1403009229236,0.444444444444444,0.555555555555556,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,J,,,,
남,,,13,True,1994.0,29.0,26.36363636,ENTP,,True,81,71,81,63,75,100,52,4,6,28.0,56,212428.2105263158,84.5130125681559,15.4869874318441,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,E,N,T,P,,,,
여,3.0,,20,True,1993.0,31.0,29.08333333,ISFJ,False,False,87,76,81,76,54,95,91,5,6,30.0,112,435067.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,I,S,F,J,0.01225756896882801,0.016202611294635835,0.009046460542787632,0.01195589088798607
