성별,시즌,시청률,방송편수,OTT 방영 여부(후행적?),출생년도,방영당시 나이,출연자 평균 연령,MBTI,메기여부,커플 성사 여부,외모(Face score),외모(Fun),외모(Smartness),외모(Confidence),외모(Trustworthiness),외모(Attractiveness),외모(Approachability),계산된_동성_출연자_수,계산된_이성_출연자_수,계산된 방영당시 나이,방영 기간 (일),방송 종료 m일 후 팔로워 (total followers daily),pos_result의 평균,neg_result의 평균,출연자 pos_result 1의 비율,출연자 neg_result 0의 비율,1화,2화,3화,4화,넷플릭스,wavve,엠넷,티빙,쿠팡플레이,JTBC,카카오tv,SBS,디즈니,채널A,E/I,S/N,T/F,J/P,출연자방영후30일평균검색량 대비 프로그램방영후30일평균검색량 비율,출연자방영후14일평균검색량 대비 프로그램방영후14일평균검색량 비율,출연자방영전후30일총검색량 대비 프로그램방영전후30일총검색량 비율,출연자방영전후14일총검색량 대비 프로그램방영전후14일총검색량 비율
남,2.0,,20,True,1998.0,25.0,26.2,ESTJ,True,True,83,70,87,66,83,94,81,4,5,24.0,105,786568.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E,S,T,J,0.0,0.0,0.0,0.0
여,1.0,,15,True,1994.0,28.0,27.1,ISFP,True,False,81,75,50,51,54,95,82,4,5,27.0,98,125180.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,S,F,P,0.0,0.0,0.0,0.0
남,3.0,,14,True,2000.0,25.0,26.125,ENFJ,True,True,84,72,86,94,73,84,77,7,0,24.0,42,23542.0,51.0799769601175,48.9200230398826,0.517241379310345,0.482758620689655,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,J,0.006249023590064052,0.007738814993954049,0.005437737901033171,0.006647278770253427
남,4.0,,8,True,1995.0,28.0,26.6,,False,,86,71,91,77,75,100,89,4,5,27.0,56,14186.797783933518,28.1805436380885,71.8194563619115,0.272727272727273,0.727272727272727,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,
남,3.0,,14,True,1992.0,33.0,26.125,ESTP,False,True,84,98,76,99,57,98,94,7,0,32.0,42,127603.0,63.3498625364155,36.6501374635845,0.704225352112676,0.295774647887324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,S,T,P,0.02718325261677863,0.027811366384522373,0.02365415986949429,0.023888658080598254
여,,,13,True,2004.0,20.0,20.0,ESTP,False,False,81,75,89,74,51,73,75,4,5,19.0,21,170521.0,70.2776181147649,29.7223818852351,0.846153846153846,0.153846153846154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,E,S,T,P,,,,
여,,,13,True,1997.0,26.0,26.36363636,INFJ,,False,80,63,83,68,51,77,81,5,5,25.0,56,204971.0,47.3229477306207,52.6770522693793,0.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I,N,F,J,,,,
여,,,13,True,2004.0,20.0,20.0,ISTP,False,True,88,76,79,62,50,99,90,4,5,19.0,21,283484.0,56.7660272771662,43.2339727228338,0.575757575757576,0.424242424242424,0,0,1,0,1,0,0,0,0,0,0,0,0,0,I,S,T,P,,,,
여,2.0,,16,True,1998.0,25.0,27.0,ISTP,False,False,77,58,56,70,50,99,66,3,4,24.0,105,59487.0,1.13393682986498,98.866063170135,0.0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,I,S,T,P,0.08723068838675775,0.0885224149369728,0.07497403007994219,0.07502610651457949
남,3.0,,20,True,1991.0,33.0,29.08333333,ISFP,True,True,88,89,100,84,89,95,68,5,6,32.0,112,197227.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,I,S,F,P,0.0,0.0,0.0,0.0
여,4.0,,8,True,1992.0,31.0,26.6,,False,,81,76,56,75,55,98,75,4,5,30.0,56,114599.0,63.865506831465,36.134493168535,0.655737704918033,0.344262295081967,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,,,,0.06650924832743015,0.07643003990809046,0.058132590085606214,0.06610828597068501
여,2.0,,16,True,1996.0,27.0,27.0,ENFP,False,True,82,79,75,74,55,76,69,3,4,26.0,105,69423.0,1.52166672050953,98.4783332794905,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,E,N,F,P,0.04104046242774565,0.04634631788456071,0.03527392620026196,0.03928026347497791
남,3.0,,14,True,2001.0,24.0,26.125,ENFP,False,True,81,77,65,88,71,88,88,7,0,23.0,42,23363.0,56.9117152820463,43.0882847179537,0.652173913043478,0.347826086956522,0,0,0,0,0,1,0,0,0,0,0,0,0,0,E,N,F,P,,,,
